F_id,C_id,label,value
389,242,factor,0.07200898
390,226,factor,0.003996428
391,226,factor,0.023201521
394,314,factor,0.115844172
382,314,factor,0.054339131
383,314,factor,0.015989976
384,314,factor,0.070329393
385,314,factor,0.071983822
386,314,factor,0.06495852
387,314,factor,0.019180099
388,314,factor,0.067390158
389,198,factor,0.049502728
392,198,factor,0.005702941
393,198,factor,0.009529479
394,198,factor,0.161001742
381,267,factor,0.014620709
395,174,factor,0.001129053
377,223,factor,0.013618312
390,267,factor,0.016659204
391,267,factor,0.017959493
395,267,factor,0.00364127
390,239,factor,0.008940262
391,239,factor,0.037528348
377,261,factor,0.024789703
378,261,factor,0.039944601
379,261,factor,0.063094843
391,271,factor,0.029830558
395,271,factor,0.001819439
377,314,factor,0.01310014
378,314,factor,0.024640992
379,314,factor,0.037484764
380,314,factor,0.004700092
394,262,factor,0.157977761
382,262,factor,0.083047146
383,262,factor,0.010375344
384,262,factor,0.078882597
385,262,factor,0.215378119
380,262,factor,0.001961571
382,198,factor,0.101517226
383,198,factor,0.013475375
392,294,factor,0.004400707
393,294,factor,0.008102654
377,294,factor,0.016650372
378,294,factor,0.036069928
379,294,factor,0.075383397
381,270,factor,0.003875421
390,180,factor,0.005868506
391,180,factor,0.021632688
389,279,factor,0.053706182
392,279,factor,0.002381055
384,198,factor,0.062917293
385,198,factor,0.223124593
386,198,factor,0.128827272
387,198,factor,0.008939365
388,198,factor,0.180251345
390,198,factor,0.01185396
391,198,factor,0.016658009
387,179,factor,0.00916316
388,179,factor,0.137587563
376,258,factor,0.002077315
380,237,factor,0.006980471
376,213,factor,0.004645915
381,175,factor,0.005584926
377,175,factor,0.032205498
382,194,factor,0.050448388
383,194,factor,0.006887361
381,223,factor,0.003872029
381,262,factor,0.008195302
390,195,factor,0.011107258
391,195,factor,0.02851396
390,262,factor,0.012290346
391,262,factor,0.024945384
395,262,factor,0.001366489
380,220,factor,0.005079993
395,301,factor,0.002649461
394,303,factor,0.136029859
382,303,factor,0.044584435
383,303,factor,0.012150858
384,303,factor,0.091535673
385,303,factor,0.082407911
390,178,factor,0.005288317
391,178,factor,0.022114144
395,178,factor,0.001984468
390,258,factor,0.008662133
391,258,factor,0.022857052
379,179,factor,0.067661515
380,179,factor,0.001938752
386,262,factor,0.138285766
387,262,factor,0.00964173
388,262,factor,0.15788077
392,314,factor,0.004672018
393,314,factor,0.012894104
376,266,factor,0.001393015
390,217,factor,0.005224034
393,260,factor,0.009138737
394,260,factor,0.121324604
382,260,factor,0.04196233
377,260,factor,0.018050677
377,178,factor,0.019920874
378,178,factor,0.033799763
379,178,factor,0.06472392
376,179,factor,0.004690888
391,194,factor,0.02402208
379,213,factor,0.087601342
380,213,factor,0.003120834
393,266,factor,0.012993001
394,266,factor,0.140923192
382,266,factor,0.07670588
383,266,factor,0.010066327
384,266,factor,0.090485597
385,266,factor,0.16296261
381,171,factor,0.014419328
388,206,factor,0.094634297
381,239,factor,0.003973645
383,260,factor,0.012326198
384,260,factor,0.102413483
385,260,factor,0.092248733
386,260,factor,0.080600422
387,260,factor,0.013147718
388,260,factor,0.079156037
390,260,factor,0.015038886
391,260,factor,0.031543217
390,238,factor,0.002843467
391,238,factor,0.016502859
377,214,factor,0.021231062
378,214,factor,0.037798659
379,214,factor,0.104039548
384,273,factor,0.060819662
385,273,factor,0.064898837
386,273,factor,0.083615336
387,273,factor,0.015632472
388,273,factor,0.062651309
395,239,factor,0.001436934
388,200,factor,0.073900524
383,269,factor,0.020913784
384,269,factor,0.067066104
385,269,factor,0.079519394
386,269,factor,0.072267932
387,269,factor,0.009050236
388,269,factor,0.067885685
383,180,factor,0.015288624
384,180,factor,0.113306327
385,180,factor,0.16402225
386,180,factor,0.128772987
387,180,factor,0.003061053
388,180,factor,0.150441787
381,258,factor,0.004339456
390,309,factor,0.008319239
391,309,factor,0.038739144
389,266,factor,0.044561089
